dba_name,license_#,facility_type,address,city,state,zip
STEAK 48,2501476,Restaurant,615 N WABASH AVE ,CHICAGO,IL,60611.0
POPEYE'S CHICKEN & BISCUITS,1963422,Restaurant,8732 S STONY ISLAND AVE ,CHICAGO,IL,60617.0
WHITE CASTLE #26,28488,Restaurant,4750 W 63RD ST ,CHICAGO,IL,60629.0
KARAOKE RESTAURANT & BAR,46241,Restaurant,6248 N CALIFORNIA AVE ,CHICAGO,IL,60659.0
FAST FOOD EL MEXICANO,1772067,Restaurant,3332 W 63RD ST ,CHICAGO,IL,60629.0
THE SIP GOURMET COFFEE HOUSE,2183659,Restaurant,5301 S HYDE PARK BLVD ,CHICAGO,IL,60615.0
YUEN'S CHINESE KITCHEN,2536722,Restaurant,7357 N CLARK ST ,CHICAGO,IL,60626.0
RESI'S BIERSTUBE INC,800,Restaurant,2034 W IRVING PARK RD ,CHICAGO,IL,60618.0
PALETERIA Y NEVERIA KAIROS,2405581,Restaurant,5536 S ARCHER AVE ,CHICAGO,IL,60638.0
SEOUL COREA RESTAURANT,1479631,Restaurant,1603 E 55TH ST ,CHICAGO,IL,60615.0
RACINE BAKERY INC,15456,Bakery,6216 S ARCHER AVE ,CHICAGO,IL,60638.0
HAROLD'S CHICKEN #24,1337815,Restaurant,407 E 75TH ST ,CHICAGO,IL,60619.0
TAQUERIA EL TAQUIN,2437446,Restaurant,13307 S BRANDON AVE ,CHICAGO,IL,60633.0
HOWARD CAFE,2536625,Restaurant,1418 W HOWARD ST ,CHICAGO,IL,60626.0
MC DONALD'S,1045468,Restaurant,6737 S PULASKI RD ,CHICAGO,IL,60629.0
LO'S CHINA KITCHEN INC.,2492239,Restaurant,2800 W IRVING PARK RD ,CHICAGO,IL,60618.0
PHO 55 NOODLE AND GRILL INC.,2313846,Restaurant,1611 E 55TH ST ,CHICAGO,IL,60615.0
A. P. DELI & GRILL VIII,2027214,Restaurant,2415 W 79TH ST ,CHICAGO,IL,60652.0
DOUGH BROS,2333733,Restaurant,400 N STATE ST ,CHICAGO,IL,60654.0
DOREEN'S PIZZERIA,60383,Restaurant,13201 S BALTIMORE AVE ,CHICAGO,IL,60633.0
MCDONALD'S RESTAURANTS,2423993,Restaurant,8321 S ASHLAND AVE ,CHICAGO,IL,60620.0
TIFFANY'S NUTRITION CLUB,2470494,Restaurant,3645 W 83RD PL ,CHICAGO,IL,60652.0
THE PICNIC BASKET,2541987,Restaurant,4102 N PULASKI RD ,CHICAGO,IL,60641.0
BEOGRAD CAFE AND RESTAURANT,2432410,Restaurant,2933-2939 W IRVING PARK RD ,CHICAGO,IL,60618.0
JOSEFINA'S NUTRITION,2452354,Restaurant,3645 W 83RD PL ,CHICAGO,IL,60652.0
SUBWAY,1646316,Restaurant,7949 S CICERO AVE ,CHICAGO,IL,60652.0
"CHINA STAR OF CHICAGO, INC.",2528104,Restaurant,7117 S STATE ST ,CHICAGO,IL,60619.0
BURKE'S PUBLIC HOUSE,2004585,Restaurant,5401-5403 N BROADWAY ,CHICAGO,IL,60640.0
LITTLE CAESARS,2452091,Restaurant,2024 E 95TH ST ,CHICAGO,IL,60617.0
PAPA T'S ITALIANO,1166821,Restaurant,2843 - 2847 W 63RD ST ,CHICAGO,IL,60629.0
MILANO'S PIZZA,24438,Restaurant,10945 S WESTERN AVE ,CHICAGO,IL,60643.0
SKY CHOP SUEY INC,25159,Restaurant,8616 S KEDZIE AVE ,CHICAGO,IL,60652.0
"NADIA FISH & CHICKEN, INC",1985943,Restaurant,2704 E 75TH ST ,CHICAGO,IL,60649.0
TANK NOODLE PHO XE TANG,2299314,Restaurant,4953-4955 N BROADWAY ,CHICAGO,IL,60640.0
WINGSTOP,1938066,Restaurant,3326 N WESTERN AVE ,CHICAGO,IL,60618.0
Oromo Cafe,2464339,Restaurant,4703 N Lincoln AVE ,CHICAGO,IL,60625.0
SEE THRU CHINESE KITCHEN,1544893,Restaurant,5012 N PULASKI RD ,CHICAGO,IL,60630.0
SHERNIQUES EGGS ON THE RUN,1122371,Restaurant,145 W 95TH ST ,CHICAGO,IL,60628.0
57 RIB HOUSE,2284173,Restaurant,9709 S HALSTED ST ,CHICAGO,IL,60628.0
CHINA HUT,2364414,Restaurant,2311 W LAWRENCE AVE ,CHICAGO,IL,60625.0
"PARK ISLAND JERK CHICKEN,INC.",2319762,Restaurant,319 W 95TH ST ,CHICAGO,IL,60628.0
LA HUMITA ON WHEELS,2470587,Mobile Food Preparer,2300 S THROOP ST ,CHICAGO,IL,60608.0
THE PORTAGE,2022387,Restaurant,3938 N CENTRAL AVE ,CHICAGO,IL,60634.0
CHURCH'S CHICKEN # 1142,1273279,Restaurant,6 W 59TH ST ,CHICAGO,IL,60621.0
FALCO'S PIZZA,990,Restaurant,2806 W 40TH PL ,CHICAGO,IL,60632.0
BABA'S FAMOUS STEAK & LEMONADE,1954887,Restaurant,130 E 51ST ST ,CHICAGO,IL,60615.0
NINJA,2500704,Restaurant,3944 N CENTRAL AVE ,CHICAGO,IL,60634.0
BREE'S THAI RICE & NOODLE,2113557,Restaurant,5306 S CENTRAL AVE ,CHICAGO,IL,60638.0
THE SUBMARINE PIER INC.,1092597,Restaurant,4048 S ARCHER AVE ,CHICAGO,IL,60632.0
PI-HI PIZZA CAFE,2229448,Restaurant,3539 N WESTERN AVE ,CHICAGO,IL,60618.0
FRIENDSHIP RESTAURANT,1275144,Restaurant,2830 N MILWAUKEE AVE ,CHICAGO,IL,60618.0
DUNKIN DONUTS / BASKIN ROBBINS,74790,Restaurant,4045 W LAWRENCE AVE ,CHICAGO,IL,60630.0
GOLD COAST DOGS,1884293,Restaurant,11601 W TOUHY AVE ,CHICAGO,IL,60666.0
MILA PLAZA,2405178,Restaurant,300 S RIVERSIDE PLZ ,CHICAGO,IL,60606.0
THE GODDESS AND GROCER,2446741,Restaurant,5318 N CLARK ST ,CHICAGO,IL,60640.0
LAS BRISAS DEL MAR,84625,Restaurant,3207 W 51ST ST ,CHICAGO,IL,60632.0
RECLAIMED BAR AND RESTAURANT,1000774,Restaurant,3655 N WESTERN AVE ,CHICAGO,IL,60618.0
SMOKE FILLED ROOM,2528728,Restaurant,3359 W 79TH ST ,CHICAGO,IL,60652.0
IZAKAYA YUME,2476379,Mobile Food Preparer,950 ESTES CT ,SCHAUMBURG,IL,60193.0
BOURBON ON DIVISION,2369040,Restaurant,2050 W DIVISION ST ,CHICAGO,IL,60622.0
LINDO MICHOACAN,2103019,Restaurant,4811 N KEDZIE AVE ,CHICAGO,IL,60625.0
BLUE SOUL RESTAURANT,1822894,Restaurant,11142 S HALSTED ST ,CHICAGO,IL,60628.0
WELLNESS DAY,2368428,Restaurant,5756 S ARCHER AVE ,CHICAGO,IL,60638.0
MC DONALD'S #3901,2542042,Restaurant,2317 N CICERO AVE ,CHICAGO,IL,60639.0
PALETERIA COCKTAILS TROPICALES,1593783,Restaurant,4282 S ARCHER AVE ,CHICAGO,IL,60632.0
"PERFECT TJA, INC.",2196203,Restaurant,3922 N ELSTON AVE ,CHICAGO,IL,60618.0
SMOKE FILLED ROOM,2517829,Restaurant,3359 W 79TH ST ,CHICAGO,IL,60652.0
HANNAH'S BRETZEL,2124978,Restaurant,400 N LA SALLE DR ,CHICAGO,IL,60654.0
PIZZA IMPERIO,2469891,Restaurant,3441 W Lawrence AVE ,CHICAGO,IL,60625.0
TORRES RESTAURANT GROUP,2541926,Restaurant,100 E ERIE ST ,CHICAGO,IL,60611.0
LUKE'S BEEF & PIZZA,1139942,Restaurant,3130 N HARLEM AVE ,CHICAGO,IL,60634.0
LONG TUNG CHINESE KITCHEN,1985572,Restaurant,6237 S HALSTED PKWY ,CHICAGO,IL,60621.0
FAT ALBERT,2087634,Restaurant,6854 S ASHLAND AVE ,CHICAGO,IL,60636.0
'DULCE V',2447210,Restaurant,6140 S ARCHER AVE ,CHICAGO,IL,60638.0
"JR'S JAMAICAN TROPICAL CAFE,INC",2442496,Restaurant,2200 E 79TH ST ,CHICAGO,IL,60649.0
HUBBLE HOOKAH,1816306,Restaurant,3308 N HARLEM AVE ,CHICAGO,IL,60634.0
STEAK 48,2501477,Restaurant,615 N WABASH AVE ,CHICAGO,IL,60611.0
SWISS AIR,2487938,Restaurant,11601 W TOUHY AVE ,CHICAGO,IL,60666.0
PAMPANEAS CUISINE FILIPINO RESTAURANT,3933,Restaurant,6407 N CALDWELL AVE ,CHICAGO,IL,60646.0
WHITE CASTLE #23,28475,Restaurant,3212 W ADDISON ST ,CHICAGO,IL,60618.0
BURGER KING #244,2368973,Restaurant,3728 S ARCHER AVE ,CHICAGO,IL,60632.0
"CHABLAY'S EXPRESS & CATERING, INC",2314797,Restaurant,6558 S WESTERN AVE ,CHICAGO,IL,60636.0
COUGAR FUEL,2464645,Restaurant,3800 W 103RD ST ,CHICAGO,IL,60655.0
ADMIRAL'S CLUB,2488148,Restaurant,11601 W TOUHY AVE ,CHICAGO,IL,60666.0
MEI SHUNG CHINESE RESTAURANT,2528582,Restaurant,5511 N BROADWAY ,CHICAGO,IL,60640.0
LA CECINA # 1,2341257,Restaurant,1934 W 47TH ST ,CHICAGO,IL,60609.0
HARRY'S GRILL,2293777,Restaurant,6241 S ASHLAND AVE ,CHICAGO,IL,60636.0
FINA ESTAMPA PERU INC.,2541768,Restaurant,5210 W DIVERSEY AVE ,CHICAGO,IL,60639.0
THE KENNISON,2516844,Restaurant,1800 N LINCOLN AVE ,CHICAGO,IL,60614.0
MCDONALDS,1768770,Restaurant,600 E 115TH ST ,CHICAGO,IL,60628.0
TAQUERIA ATOTONILCO #2,7861,Restaurant,1649 W 47TH ST ,CHICAGO,IL,60609.0
THEOHARIS COFFEE COMPANY,2528836,Restaurant,900 W VAN BUREN ST ,CHICAGO,IL,60607.0
CHILI'S T - 3,34190,Restaurant,11601 W TOUHY AVE ,CHICAGO,IL,60666.0
JOVIAL CLUB,67086,Restaurant,9615 S COMMERCIAL AVE ,CHICAGO,IL,60617.0
THE KENNISON,2516843,Restaurant,1800 N LINCOLN AVE ,CHICAGO,IL,60614.0
LA MICHOACANA THE GREEN PARTY INC.,2523060,Restaurant,3211 W 111TH ST ,CHICAGO,IL,60655.0
MILA PLAZA,2405179,Restaurant,300 S RIVERSIDE PLZ ,CHICAGO,IL,60606.0
BURGUNDY RESTAURANT INC,32111,Restaurant,5959 W IRVING PARK RD ,CHICAGO,IL,60634.0
GOOSE ISLAND BEER CO,2496356,Restaurant,603 N SACRAMENTO BLVD ,CHICAGO,IL,60612.0
GOOSE ISLAND BEER CO,2496358,Restaurant,603 N SACRAMENTO BLVD ,CHICAGO,IL,60612.0
JOE'S BREAKFAST & GRILL,2390882,Restaurant,1156 1/2 W 51ST ST ,CHICAGO,IL,60609.0
"C.J.'S BBQ CRUISER, L.L.C.",2511481,Mobile Food Preparer,2300 S THROOP ST ,CHICAGO,IL,60608.0
LEVY RESTAURANTS AT UNITED CENTER,2522716,Restaurant,1901 W MADISON AVE ,CHICAGO,IL,60612.0
LEVY RESTAURANTS AT UNITED CENTER,2522719,Restaurant,1901 W MADISON AVE ,CHICAGO,IL,60612.0
LEVY RESTAURANTS AT UNITED CENTER,2522718,Restaurant,1901 W MADISON AVE ,CHICAGO,IL,60612.0
LEVY RESTAURANTS AT UNITED CENTER,2522722,Restaurant,1901 W MADISON AVE ,CHICAGO,IL,60612.0
LEVY RESTAURANTS AT UNITED CENTER,2522723,Restaurant,1901 W MADISON AVE ,CHICAGO,IL,60612.0
LEVY RESTAURANTS AT UNITED CENTER,2522721,Restaurant,1901 W MADISON AVE ,CHICAGO,IL,60612.0
USMANIA RESTAURANT,1047084,Restaurant,2253 W DEVON AVE ,CHICAGO,IL,60659.0
SEASHELL RESTAURANT,2137180,Restaurant,6940 S ASHLAND AVE ,CHICAGO,IL,60636.0
PICOSITO GRILL-BAR,2158267,Restaurant,3553-3559 E 100TH ST ,CHICAGO,IL,60617.0
JEAN'S CAFE & RESTAURANT,2130274,Restaurant,10936 S VINCENNES AVE ,CHICAGO,IL,60643.0
WHITE CASTLE #55,28481,Restaurant,9450 S JEFFERY AVE ,CHICAGO,IL,60617.0
CARNITAS DON RAFA INC,57160,Restaurant,4619 S KEDZIE AVE ,CHICAGO,IL,60632.0
WING STOP,2333268,Restaurant,6160 N LINCOLN AVE ,CHICAGO,IL,60659.0
BURGER KING #,5449,Restaurant,2828 W BELMONT AVE ,CHICAGO,IL,60618.0
PAULIE GEE'S LOGAN SQUARE,1968878,Restaurant,2451 N MILWAUKEE AVE ,CHICAGO,IL,60647.0
